team,w,l,run_diff
Tampa Bay Rays,85,57,49
New York Yankees,81,61,118
Boston Red Sox,78,65,84
Toronto Blue Jays,72,71,-33
Baltimore Orioles,69,74,-27
Chicago White Sox,74,68,40
Cleveland Guardians,72,71,-15
Minnesota Twins,68,74,-39
Detroit Tigers,65,77,51
Kansas City Royals,63,80,-93
Houston Astros,73,70,-37
Texas Rangers,70,73,-46
Seattle Mariners,66,77,-73
Athletics,57,86,-186
Los Angeles Angels,54,88,-76
Atlanta Braves,84,58,119
Philadelphia Phillies,80,62,35
Miami Marlins,71,72,8
Washington Nationals,67,77,11
New York Mets,64,78,-50
Milwaukee Brewers,88,55,172
Chicago Cubs,81,62,139
St. Louis Cardinals,71,72,-11
Pittsburgh Pirates,70,73,25
Cincinnati Reds,68,74,-109
Los Angeles Dodgers,85,57,150
Arizona Diamondbacks,75,68,-2
San Diego Padres,74,68,7
San Francisco Giants,59,84,-73
Colorado Rockies,55,87,-138
