away,home,date
Cleveland Guardians,Baltimore Orioles,2026-09-08
Minnesota Twins,Detroit Tigers,2026-09-08
Houston Astros,Philadelphia Phillies,2026-09-08
New York Mets,Miami Marlins,2026-09-08
Los Angeles Angels,Boston Red Sox,2026-09-08
Colorado Rockies,New York Yankees,2026-09-08
Tampa Bay Rays,Atlanta Braves,2026-09-08
Pittsburgh Pirates,Chicago White Sox,2026-09-08
Arizona Diamondbacks,Kansas City Royals,2026-09-08
Chicago Cubs,Milwaukee Brewers,2026-09-08
Toronto Blue Jays,Athletics,2026-09-08
Texas Rangers,Seattle Mariners,2026-09-08
Washington Nationals,San Diego Padres,2026-09-08
St. Louis Cardinals,San Francisco Giants,2026-09-08
Cincinnati Reds,Los Angeles Dodgers,2026-09-08
